cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,HTC,immigrants_refugees,children_ages_0_5,limited_english_proficient_indi,htc_breakdown_data_confidence,Language,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone
CAP OC ,Charitable Ventures,speaking_engagement,,2/25/2020,,,,,Brea,"1 civic center cir # 1, brea, ca 92821",,,,,,,,,,,,,,65,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Boys & Girls Clubs of Garden Grove,Charitable Ventures,speaking_engagement,,4/6/2020,4/10/2020,,,33,Garden Grove,"10540 chapman ave., garden grove, ca 92840",,,,,,,,,,,,,,33,high,78,high,"children_ages_0_5, limited_english_proficient_indi",,33,5,high,"spanish, vietnamese",,,,,,,,,,,,,,,,,,,,2,,,,,9,,high,NO,NO,YES,NO,YES,2,,,,
Boys & Girls Clubs of Garden Grove,Charitable Ventures,speaking_engagement,,4/13/2020,4/24/2020,,,,Garden Grove,"10540 chapman avenue, garden grove, ca 92840",,,,,,,,,,,,,,75,high,100,high,"children_ages_0_5, limited_english_proficient_indi",,71,12,medium,"spanish, vietnamese, other",,,,,,,,,,,,,,,,,,,,5,,,,,7,63,high,NO,NO,YES,NO,YES,,,,,
Boys & Girls Clubs of Garden Grove,Charitable Ventures,speaking_engagement,,4/27/2020,5/1/2020,,,,Garden Grove,"10540 chapman avenue, garden grove, ca 92840",,,,,,,,,,,,,,66,high,100,high,"children_ages_0_5, limited_english_proficient_indi",,66,11,medium,"spanish, vietnamese, other",,,,,,,,,,,,,,,,,,,,4,,,,,6,56,high,NO,NO,YES,NO,YES,,,,,
Boys & Girls Clubs of Garden Grove,Charitable Ventures,speaking_engagement,,4/8/2020,,,,,Garden Grove,"10861 acacia parkway, garden grove ca 92840",,,,,Clementine Distribution ,,,52,Flyers,,,,,52,high,100,high,,,,,medium,"spanish, vietnamese, other",,,,,,,,,,,,,,,,,,,,34,,,,,2,16,high,NO,NO,YES,NO,YES,2,,,,
CAP OC ,Charitable Ventures,speaking_engagement,,3/9/2020,,,,,Garden Grove,"11870 monarch st, garden grove, ca 92841",,,,,,,,,,,,,,80,high,100,high,limited_english_proficient_indi,,,80,high,spanish,,,,,,,,,,,,,,,,,,,,80,,,,,,,high,,,,,,,,,,
CAP OC ,Charitable Ventures,speaking_engagement,,3/11/2020,,,,,Garden Grove,"11870 monarch st, garden grove, ca 92841",,,,,,,,,,,,,,40,high,100,high,limited_english_proficient_indi,,,40,high,spanish,,,,,,,,,,,,,,,,,,,,40,,,,,,,high,,,,,,,,,,
Boys & Girls Clubs of Garden Grove,Charitable Ventures,speaking_engagement,,3/9/2020,3/13/2020,,,,Garden Grove,"12721 magnolia st, ""a"" garden grove, ca 92840",,,,,,BGCGG Families,,,,,,,,68,high,93,high,,,,,medium,"spanish, vietnamese, other",,,,,,,,,,,,,,,,,,,,21,,,,,20,27,high,,,,,,,,,,
CAIR-LA,Charitable Ventures,webinar,Census Live Run Through (Facebook Webinar),4/17/2020,4/17/2020,,,1700,,statewide,"Webinar with CAIR-California Representatives going through the Census survey, providing guidance, and answering questions from participants, and addressing issues/concerns re: confidentiality, race/ethnicity, household.",,,,,,Varies,,,"Facebook, Zoom, Instagram",,,,1700,very_high,95,high,"immigrants_refugees, limited_english_proficient_indi",500,,800,very_low,"arabic, farsi, hindi",400,,,,,,200,,400,,,,,,,,,,,,,,,,,,very_low,,,,,,,,,,
Community Health Initiative of Orange County ,Charitable Ventures,booths,Clinic at the Park Higher ground youth and Family Services,2/8/2020,,,,,,1535 e. broadway anaheim ca 92805,Clinic at the Park event ,,,,,,,221,flyer distribution,,,,,221,high,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,yes,no,no,no,no,,,,,
Orange County Labor Federation,Charitable Ventures,advertising,Facebook announcement of member taking the pledge for Census 2020,2/25/2020,,,,,,"8530 stanton ave, buena park, 90620",,,,,,,,,,,,,,1180,high,70,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OCAPICA,Charitable Ventures,speaking_engagement,AAPIphany,3/13/2020,,,,,Garden Grove,"12901 s euclid st, garden grove, ca 92840",,,,,,,,,,,,,,50,high,100,high,immigrants_refugees,25,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OCAPICA,Charitable Ventures,speaking_engagement,,7/6/2020,,,,,Garden Grove,"12912 brookhurst st, garden grove, ca 92840",,,,,,,,,,,,,,30,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys & Girls Clubs of Garden Grove,Charitable Ventures,speaking_engagement,,3/9/2020,3/13/2020,,,,Garden Grove,"13645 clinton st., garden grove, ca 92843",,,,,,BGCGG Families,,,,,,,,80,high,93,high,,,,,medium,"spanish, vietnamese, other",,,,,,,,,,,,,,,,,,,,24,,,,,7,49,high,,,,,,,,,,
Boys & Girls Clubs of Garden Grove,Charitable Ventures,speaking_engagement,,3/9/2020,3/13/2020,,,,Garden Grove,"6202 cerulean ave., bldg. e, garden grove, ca 92845",,,,,,BGCGG Families,,,,,,,,225,high,93,high,,,,,medium,"spanish, vietnamese, other",,,,,,,,,,,,,,,,,,,,68,,,,,7,150,high,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,915 e. chestnut ave santa ana 92701,,,,,,,,,,,,,,200,exact,100,high,,,,,low,spanish,,,,,,,,,,,,,,,,,,,,100,,,,,,,high,,,,,,,,,,
Boys & Girls Clubs of Garden Grove,Charitable Ventures,speaking_engagement,,3/9/2020,3/13/2020,,,,Garden Grove,"9860 larson ave., garden grove, ca 92844",,,,,,BGCGG Families,,,,,,,,213,high,93,high,,,,,medium,"spanish, vietnamese, other",,,,,,,,,,,,,,,,,,,,64,,,,,47,102,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,speaking_engagement,Distribute Census information ,2/20/2020,,,,,Irvine,"18500 van karmen ave, irvine, ca 92612",,,,,,,,,,,,,,134,very_high,90,very_high,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,curriculum,Herald Monthly Vol.33 No. 3 March 2020,3/1/2020,,,,,,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,7000,medium,100,exact,,,,,exact,chinese,,,,,,7000,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/9/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/20/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/2/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/23/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/2/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Latino Health Access,Charitable Ventures,media_other,Educational messages via a loudspeaker from LHA Infomovil - a van that drives to supermarkets and food distribution events and educates people via messages thru a loudspeaker.,4/3/2020,,,,,,"409 e 4th st, santa ana 92701",At Northgate Supermarket,,,,,,,,,,,,,38,high,100,high,,,,,very_low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/10/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/28/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/27/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/22/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,speaking_engagement,Distribute Census information ,2/19/2020,,,,,Irvine,"2020 main st, irvine, ca, 92614",,,,,,,,,,,,,,82,very_high,90,very_high,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/28/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
AASCSC,Charitable Ventures,speaking_engagement,,2/16/2020,,,,,Orange,"1 university dr, orange",,,,,,,,,,,,,,200,very_high,100,exact,"immigrants_refugees, limited_english_proficient_indi",200,,200,exact,"cantonese, chinese, mandarin, min nan chinese, other",,,,50,,200,,,,,,,,,200,50,,,,,,,,,,50,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,speaking_engagement,Census 101 and Q&A,2/26/2020,,,,,Orange,"140 s marks way, orange, ca 92868",,,,,,,,,,,,,,129,very_high,90,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,speaking_engagement,Census Presenation in the afternoon for parents at Lincoln Elementary.,3/10/2020,,,,,Santa Ana,"425 s. sullivan st. santa ana, ca 92704",,,,,,,,,,,,,,31,very_high,95,very_high,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,speaking_engagement,Census Presenation in the morning for parents at Lincoln Elementary.,3/10/2020,,,,,Santa Ana,"425 s. sullivan st. santa ana, ca 92704",,,,,,,,,,,,,,53,very_high,95,very_high,,,,,very_high,arabic,1,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OCAPICA,Charitable Ventures,training_delivery,,7/13/2020,,,,,Garden Grove,"12912 brookhurst st, garden grove, ca 92840",,,,,,,,,,,,,,25,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCAPICA,Charitable Ventures,training_delivery,,7/30/2020,,,,,Garden Grove,"12912 brookhurst st, garden grove, ca 92840",,,,,,,,,,,,,,1500,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southland Integrated Services, Inc. ",Charitable Ventures,training_delivery,tutorial census form training,2/28/2020,2/28/2020,,,,Garden Grove,"9862 chapman ave garden grove, ca 92840",,,,,,,,,,,,,,48,exact,70,high,,,,,high,"spanish, tagalog, vietnamese",,,,,,,,,,,,,,,,,,,,3,2,,,,43,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,training_delivery,Youth in Action Census video competition,5/30/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,66,exact,100,exact,,,,,exact,chinese,,,,,,66,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Community Health Initiative of Orange County ,Charitable Ventures,booths,Outreach event at Walter Knott,2/20/2020,,,,,,7300 la palma ave buena park ca 90620,Outreach event,,,,,,,25,flyer distribution,,,,,25,high,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,8/12/2020,,,,,,"505 e commonwealth ave, fullerton 92832",,,,,,,,,,,,,,218,exact,100,high,children_ages_0_5,,218,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Herald Center,Charitable Ventures,training_delivery,YIA training,2/15/2020,2/15/2020,,,45,Irvine,"bread of life great park church, 2 faraday, irvine, ca 92618",,,,,,,,,,,,,,45,exact,100,exact,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Access California Services,Charitable Ventures,flyers,flyers through constant contact,5/12/2020,5/12/2020,,,,,"631 s. brookhurst st. suite 107, anaheim 92804","Census education flyers were emailed to our subscribers.  Flyers were in 6 different languages: English, Urdu, Pashto, Farsi, Arabic, and Spanish",,,,,,,,,,,,,1271,high,80,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,phone_banking,,5/1/2020,5/31/2020,,,,,"10841 garza ave, anaheim 92804",,,,,,,,,,,,,,250,exact,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,education_forum,Information on Census and Q&A,2/19/2020,,,,,,"140 s marks way, orange, ca 92868",,,,,,,,,,,,,,278,high,70,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OCAPICA,Charitable Ventures,training_delivery,,9/9/2020,,,,,Santa Ana,"1530 w 17th st, santa ana, ca 92706",,,,,,,,,,,,,,30,medium,100,high,immigrants_refugees,20,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCAPICA,Charitable Ventures,training_delivery,,9/23/2020,,,,,Santa Ana,"1530 w 17th st, santa ana, ca 92706",,,,,,,,,,,,,,30,medium,100,high,immigrants_refugees,20,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The LGBTQ Center OC,Charitable Ventures,nudgealert,email-blast,4/4/2020,,,,,,"1605 n. spurgeon street, santa ana 92701","Email blast was sent out to our members that spoke about various topics, and one of them was the Census.",,,,,,,,,Email blast,,,,2654,medium,70,medium,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,
VietRISE,Charitable Ventures,training_delivery,Vietnamese Student Association Census Webinar,3/31/2020,3/31/2020,,,59,Westminster,"14351 euclid st. #1m, westminster, ca 92843",,,,,,,,,,,,,,59,exact,100,exact,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OCAPICA,Charitable Ventures,webinar,,5/14/2020,,,,,Anaheim,515 n state college blvd. anaheim 92806,,,,,,,,,,,,,,2500,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCAPICA,Charitable Ventures,webinar,,5/21/2020,,,,,Anaheim,515 n state college blvd. anaheim 92806,,,,,,,,,,,,,,2500,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCAPICA,Charitable Ventures,webinar,,5/28/2020,,,,,Anaheim,515 n state college blvd. anaheim 92806,,,,,,,,,,,,,,2500,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCAPICA,Charitable Ventures,webinar,,6/4/2020,,,,,Anaheim,515 n state college blvd. anaheim 92806,,,,,,,,,,,,,,2500,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCAPICA,Charitable Ventures,webinar,,6/11/2020,,,,,Anaheim,515 n state college blvd. anaheim 92806,,,,,,,,,,,,,,2500,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,speaking_engagement,,3/16/2020,3/17/2020,3/17/2020,,,,"8752 garden grove blvd., ca, 92844",,,,,,,,,,,,,,34000,medium,90,high,immigrants_refugees,30000,,,medium,vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,30000,,medium,,,,,,,,,,
OCAPICA,Charitable Ventures,webinar,,6/15/2020,,,,,Anaheim,515 n state college blvd. anaheim 92806,,,,,,,,,,,,,,2500,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access California Services,Charitable Ventures,nudgealert,Reminder voice text to HTC community members,4/1/2020,,,,,,"631 s. brookhurst st., suite #107, anaheim 92804",sent out a reminder text about Census to HTC communities about Census Day,,,,,,,,,,,,,3498,very_high,100,very_high,immigrants_refugees,3498,,,very_high,"arabic, farsi, spanish, other",2458,,,,,,100,,,,,,,,,,,,,210,,,,,,730,very_high,,,,,,,,,,
OCAPICA,Charitable Ventures,webinar,,6/18/2020,,,,,Anaheim,515 n state college blvd. anaheim 92806,,,,,,,,,,,,,,2500,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCAPICA,Charitable Ventures,webinar,,6/25/2020,,,,,Anaheim,515 n state college blvd. anaheim 92806,,,,,,,,,,,,,,2500,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCAPICA,Charitable Ventures,webinar,,5/27/2020,,,,,Garden Grove,"12912 brookhurst st, garden grove 92840",,,,,,,,,,,,,,75,high,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCAPICA,Charitable Ventures,webinar,,6/2/2020,,,,,Garden Grove,"12912 brookhurst st, garden grove 92840",,,,,,,,,,,,,,63,medium,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latino Health Access,Central Valley Opportunity Center,webinar,,9/28/2020,,,,,Orange,orange,Social media: Censu Townhall Foro Virtual ,,,,,,,,,,,,,265,exact,100,high,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Access California Services,Charitable Ventures,speaking_engagement,Arabic news channel interviewed AccessCal in its work for voter registration and also spoke about Census outreach,10/13/2020,,,,,,"631 s. brookhurst street suite 107, anaheim, ca 92804",,,,,,,,,,,,,,950,very_high,100,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,convening,,2/21/2020,,,,,,"110 e. la habra blvd. la habra, ca 90631  la habra, 90631","Annual meeting of La Habra Community stakeholders, business leaders, and community members. ",,,,State of the Community ,"Community members, ",,,,,,,,150,exact,75,medium,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,webinar,,9/24/2020,,,,,Santa Ana,"1626 east 4th street, santa ana 92701",,,,,,,,,,,,,,70,exact,90,very_high,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Coalition of Orange County Community Health Centers ,Charitable Ventures,webinar,WebEx,7/28/2020,7/28/2020,,66,34,Santa Ana,"515 n cabrillo park drive, suite 22 santa ana 92701","WebEx Webinar - La Nueva ""Normalidad""",,Presentation on Census 2020 and Call-to-Action,34,"La Nueva ""Normalidad"" - A virtual chat on COVID-19 and Census 2020 in Spanish","Spanish speakers, mostly adults",,,,,,,,34,very_high,97,very_high,,,,,very_high,spanish,,,,,,,,,,,,,,,,,,,,32,,,,,,,very_high,,,,,,,,,,
OC Human Relations,Charitable Ventures,canvassing,,2/16/2020,,,,,,117.11,Door to Door Visits to Residents,,,,,,,,,,,,,750,high,96,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",600,300,500,high,spanish,,,,,,,,,,,,,,,,,,,,640,,,,,,,high,Yes,no,no,no,no,8,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/21/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latino Health Access,Charitable Ventures,phone_banking,,4/6/2020,,,,,,875.05,Phone banking to PDI households in HTC census tract 875.07,,,,,,,,,,,,,40,exact,100,very_high,"immigrants_refugees, limited_english_proficient_indi",40,,40,high,spanish,,,,,,,,,,,,,,,,,,,,40,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/1/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Latino Health Access,Charitable Ventures,phone_banking,,4/6/2020,,,,,,6059087505,Phone banking to PDI households in HTC census tract 875.07,,,,,,,,,,,,,40,exact,100,very_high,"immigrants_refugees, limited_english_proficient_indi",40,,40,high,spanish,,,,,,,,,,,,,,,,,,,,40,,,,,,,medium,,,,,,,,,,
CAP OC,Charitable Ventures,qac,,5/26/2020,5/29/2020,,,,,"1601 w 2nd st, santa ana, ca 92703",,,,,,,,,,,,,,25,exact,100,high,,,,,,spanish,,,,,,,,,,,,,,,,,,,,25,,,,,,,high,,,,,,,20,5,,
Charitable Ventures,Charitable Ventures,event,,7/12/2020,,,,,,"06059063808, 06059063702, 06059063701, 06059063605,",Census Caravan through Costa Mesa ,,,,,,,,,,,,,400,high,75,very_high,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAIR-LA,Charitable Ventures,phone_banking,TEXTBANKING*,8/14/2020,,,,1090,,community connectlabs - orange county cair-la list of community members for outbound messaging,"CENSUS REMINDER MESSAGES SENT TO 1,090 CAIR-LA MOBILE CONTACTS",,,,,,,,,,,,,1090,high,100,medium,immigrants_refugees,40,,,medium,"arabic, hindi",45,,,,,,,,45,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
OC HUman Relations,Charitable Ventures,advertising,Organizational Website,6/1/2020,,,,,,county of orangelifornia,,,,,,,,,,,,,,250,high,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",75,25,5,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,YES,NO,NO,NO,NO,,,,,
AASCSC,Charitable Ventures,other,reporter,3/20/2020,,,,,,851 n. birch street santa ana 92701,,,,,,,,,,,,,,5000,high,100,high,"immigrants_refugees, limited_english_proficient_indi",5000,,4000,high,"cantonese, chinese, mandarin, min nan chinese",,,,2000,,5000,,,,,,,,,4000,2000,,,,,,,,,,,very_high,,,,,,,,,,
OC HUman Relations,Charitable Ventures,phone_banking,,6/1/2020,,,,,,county of orangelifornia,,,,,,,,,,,,,,79,exact,100,very_high,"immigrants_refugees, children_ages_0_5",79,40,,high,spanish,,,,,,,,,,,,,,,,,,,,79,,,,,,,exact,YES,NO,NO,NO,NO,,4,,,
Coalition of Orange County Community Health Centers ,Charitable Ventures,other,via-phone enrollment outreach,7/20/2020,7/24/2020,,,37,,"515 n cabrillo park drive, suite 22 santa ana 92701",We assist consumers through enrollments into Covered CA and Medi-cal. We include education on the importance on being counted in the Census.,,Via-Phone,37,,OC/South County Communities,N/A,,,Other,,37,,37,exact,86,medium,limited_english_proficient_indi,,,3,low,spanish,,,,,,,,,,,,,,,,,,,,32,,,,,,,medium,,,,,,,,,,
AASCSC,Charitable Ventures,media_other,News article,6/3/2020,,,,,,statewide,,,,,,,,,,,,,,10000,medium,100,very_high,immigrants_refugees,10000,,,medium,"cantonese, chinese, mandarin",,,,5000,,10000,,,,,,,,,8000,,,,,,,,,,,,medium,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,media_other,News article,6/3/2020,,,,,,statewide,,,,,,,,,,,,,,10000,medium,100,very_high,immigrants_refugees,10000,,,medium,"cantonese, chinese, mandarin",,,,5000,,10000,,,,,,,,,8000,,,,,,,,,,,,medium,,,,,,,,,,
AASCSC,Charitable Ventures,media_other,News article,6/8/2020,,,,,,statewide,,,,,,,,,,,,,,10000,medium,100,very_high,immigrants_refugees,10000,,,medium,"cantonese, chinese, mandarin",,,,5000,,10000,,,,,,,,,8000,,,,,,,,,,,,medium,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,media_other,News article,6/8/2020,,,,,,statewide,,,,,,,,,,,,,,10000,medium,100,very_high,immigrants_refugees,10000,,,medium,"cantonese, chinese, mandarin",,,,5000,,10000,,,,,,,,,8000,,,,,,,,,,,,medium,,,,,,,,,,
The LGBTQ Center OC,Charitable Ventures,nudgealert,"The LGBTQ Center and their YOUTH department held their annual youth convening. Since we had to move this convention online, we went ahead and not only created a website, but also through the registration form, and also follow up emails included a brief de",7/14/2020,7/14/2020,,,28,,statewide,"Hosted our  phone bank, where we went ahead and called members on our list to check in with them during this COVID-19 situation, while at the same time reminding them that some of the services that the LGBTQ Center offers are still available either online",,,,,,,,,,,40,,28,medium,80,medium,"immigrants_refugees, limited_english_proficient_indi",2,,2,medium,spanish,,,,,,,,,,,,,,,,,,,,2,,,,,,,high,,,,,,,,,,
The LGBTQ Center OC,Charitable Ventures,phone_banking,Called members of our phone list to check in with them during this COVID-19 situation while at the same time seeing if they had completed the census yet.,5/6/2020,5/6/2020,,,,,statewide,"Hosted our  phone bank, where we went ahead and called members on our list to check in with them during this COVID-19 situation, while at the same time reminding them that some of the services that the LGBTQ Center offers are still available either online or via phone. In addition, we also went ahead and inquired with them if they had already completed the census.",,,,,,,,,,,150,,80,Exact,85,high,,,,,medium,spanish,,,,,,,,,,,,,,,,,,,,12,,,,,,,high,,,,,,,,,,
